carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
LE-30,16086.831255992329,1251.176414189837,2.0,0.07777643678109541
LL-11,20065.990305741983,3629.2125279642055,4.0,0.1808638633163143
LL-12,9377.0,1056.0,1.0,0.1126159752586115
LO-20,33003.01651982379,3118.892621145374,7.0,0.09450325909669383
LU-11,9494.484210526316,264.3157894736842,3.0,0.027838878196315645
LU-12,2960.0,145.0,1.0,0.048986486486486486
M-11,77507.08993576017,2474.5058886509637,7.0,0.031926187535900215
M-110,4500.978021978021,312.71428571428567,2.0,0.06947696349267192
M-12,29862.95091720377,1056.003470500744,9.0,0.0353616584452272
M-13,45480.0,2441.0,1.0,0.05367194371152155
M-14,102888.72093023256,5451.274418604651,6.0,0.05298223526659531
M-21,65056.37042062415,5428.753731343284,7.0,0.08344691989798222
M-22,78963.84401451028,4561.096735187425,3.0,0.05776183761202513
M-23,97285.0,3325.0,1.0,0.034177930821812204
M-31,42916.413255360625,3012.3216374269005,2.0,0.07019043319167954
M-40,120421.37968377737,5379.808750270739,33.0,0.04467486391866579
M-50,67246.29084631211,10486.591904202178,38.0,0.15594305309966813
MA-20,102207.8087804878,4656.526829268292,8.0,0.04555940377578329
MA-22,41412.97411003236,1788.427184466019,2.0,0.04318519070169292
MA-23,47296.48257372654,1707.3806970509384,2.0,0.03609952800167423
MA-24,55187.659456241316,2300.0811668981937,4.0,0.04167745451719952
ML-101,0.0,0.0,1.0,0.0
ML-204,0.0,0.0,1.0,0.0
ML-300,0.0,0.0,1.0,0.0
MU-30,45324.385714285716,3220.2049999999995,5.0,0.07104795683938037
MU-31,22283.740928441108,2254.47476180823,2.0,0.10117128757904409
N-1,10458.877178178565,2748.0485248368273,41.0,0.26274794875403684
N-110,4279.380116584775,427.37254448240884,75.0,0.0998678623630845
N-110A,2405.8289304514474,236.09099289231742,16.0,0.09813290957807859
N-111,4000.895409540953,736.3560306030602,37.0,0.18404780810992175
N-111A,1098.1878279118573,197.39524309199018,6.0,0.1797463403572103
N-111R,4994.800856531048,609.2098501070665,2.0,0.12196879667594401
N-113,6482.798208392268,1351.5664780763789,10.0,0.20848504528904147
N-120,5543.849847362031,761.5238035793323,107.0,0.1373637137632242
N-120A,2188.053263043083,286.75586257044176,9.0,0.13105524779210803
N-121,5555.0,284.0,1.0,0.051125112511251125
N-122,4654.657403039563,1187.4457206144762,75.0,0.2551091557971712
N-122A,3449.489543203082,701.3651623555312,7.0,0.2033243335198711
N-123,3327.617030862807,274.5163325073214,9.0,0.08249637201674706
N-123A,1670.6727066817664,152.5300113250283,3.0,0.09129855938568499
N-123B,1043.4102795311092,94.91163210099188,2.0,0.09096290688610385
N-124,6887.122232063774,802.0584588131088,5.0,0.11645770639571855
N-125,20340.639412997905,2651.8798043326346,4.0,0.13037347305011723
N-126,11616.438237608183,2435.01730920535,2.0,0.20961823748367112
N-141,1499.7698343504794,136.36791630340016,2.0,0.09092589621424037
N-145,15528.200754005655,731.3374175306315,2.0,0.04709737007630943
N-152,10036.820809248555,100.26589595375721,2.0,0.009989806320081548
N-154,7074.499224806202,241.89147286821708,3.0,0.034192027616603976
N-155,2434.0,66.0,1.0,0.027115858668857847
N-156,32751.452816901412,9016.2838028169,3.0,0.2752941633833123
N-1A,28553.677295515114,2828.404724267197,24.0,0.09905570813155651
N-1R,9748.0,2390.0,1.0,0.24517849815346737
N-2,13861.151111872197,3641.970961665483,76.0,0.2627466458067904
N-204,1367.4344774786268,124.75921908893707,7.0,0.09123597594158736
N-211,3656.326297775243,760.2790247774003,41.0,0.20793522318836963
N-211A,864.8326392503905,119.36933888599687,9.0,0.13802594105312957
N-220,55015.39520958084,4957.209580838324,3.0,0.09010586149483907
N-223,5682.116152450091,352.43738656987296,5.0,0.06202572723155338
N-225,5134.718575213425,815.2834854283192,10.0,0.1587786114245671
N-225A,3567.647727272727,577.5681818181818,2.0,0.16189047405184853
N-230,3816.4634250259624,458.1200703006417,34.0,0.1200378516132446
N-232,6579.13192364594,1305.9693194529639,77.0,0.19850176810700557
N-232A,3183.979521796015,376.884355031381,29.0,0.11836896325852893
N-232B,702.0,60.00000000000001,1.0,0.08547008547008549
N-234,4775.943276742006,874.983064264139,74.0,0.1832063350762876
N-234A,2339.5375928677568,361.30252600297183,5.0,0.15443330643817296
N-235,14560.106770833332,1868.0494791666667,3.0,0.12829916075263442
N-238,5158.331249999999,316.82734375,2.0,0.061420511478397215
N-240,6928.995437419051,901.6289297068173,64.0,0.13012404725188573
N-240A,3449.89880304679,345.7225244831338,4.0,0.10021236686067654
N-240R,1982.858800072503,146.81076672104402,12.0,0.07403995015463324
N-260,4200.9359273281825,407.2702185708052,58.0,0.09694749589523761
N-260A,2911.234606741573,172.6765293383271,13.0,0.05931384881811259
N-260R,3453.9999999999995,71.0,1.0,0.020555877243775337
N-2A,9592.658938691395,2617.818764668842,24.0,0.27289813819086517
N-2R,8835.556270096466,2613.609324758843,9.0,0.29580586041927925
N-3,11048.339453773762,2391.682044657686,27.0,0.21647434482480202
N-301,4882.5744972520215,1046.6043540050055,53.0,0.21435501999898793
N-310,3764.0206988267096,830.0020591578901,28.0,0.22050943009336046
N-320,4025.4947606328337,362.62383398397367,38.0,0.09008180498214506
N-320A,3429.571396993811,226.52564102564102,6.0,0.06605071444910053
N-322,4639.936081293482,507.5046848537278,81.0,0.10937751640584022
N-322A,1321.732039636664,99.77208918249379,15.0,0.07548586717313785
N-323,9320.455422436595,1280.0714952543956,22.0,0.13734001582937175
N-323A,10548.858578495181,872.3970320229107,17.0,0.08270060931534075
N-325,6332.302493074792,386.5141274238227,6.0,0.06103848131805561
N-330,6419.128964503256,768.6094132885249,84.0,0.11973733781309125
N-330A,1637.3919405918966,98.77842088020093,20.0,0.060326680760682
N-330B,474.7077625570776,45.59817351598173,2.0,0.09605525148853895
N-331,7963.011637471659,896.2091669229725,32.0,0.11254650975337874
N-331R,2855.0,182.0,2.0,0.06374781085814361
N-332,21914.167999999994,1432.7921243523317,74.0,0.06538199964298586
N-332A,2847.0,61.00000000000001,1.0,0.021426062521952935
N-332R,22286.0,1740.0,1.0,0.07807592210356278
N-334,76910.6129032258,3898.9650537634407,2.0,0.050694759885340994
N-337,17587.03242677824,2445.426778242678,4.0,0.13904715240754545
N-337A,19124.33733624454,2753.079694323144,4.0,0.1439568674155048
N-338,32605.93488876831,2334.2219207813346,8.0,0.07158886652826503
