municipality_code,municipality_name,population_year,municipal_population
05080,Gallegos de Sobrinos,2025,41.0
05081,Garganta del Villar,2025,37.0
05082,Gavilanes,2025,524.0
05083,Gemuño,2025,147.0
05084,Gilbuena,2025,44.0
05085,Gil García,2025,45.0
05086,Gimialcón,2025,73.0
05087,Gotarrendura,2025,173.0
05088,Grandes y San Martín,2025,33.0
05089,Guisando,2025,463.0
05090,Gutierre-Muñoz,2025,63.0
05092,Hernansancho,2025,140.0
05093,Herradón de Pinares,2025,554.0
05094,Herreros de Suso,2025,139.0
05095,Higuera de las Dueñas,2025,248.0
05096,"Hija de Dios, La",2025,79.0
05097,"Horcajada, La",2025,436.0
05099,Horcajo de las Torres,2025,425.0
05100,"Hornillo, El",2025,262.0
05101,Hoyocasero,2025,295.0
05102,"Hoyo de Pinares, El",2025,2185.0
05103,Hoyorredondo,2025,57.0
05104,Hoyos del Collado,2025,28.0
05105,Hoyos del Espino,2025,366.0
05106,Hoyos de Miguel Muñoz,2025,24.0
05107,Hurtumpascual,2025,44.0
05108,Junciana,2025,40.0
05109,Langa,2025,444.0
05110,Lanzahíta,2025,815.0
05112,"Losar del Barco, El",2025,100.0
05113,"Llanos de Tormes, Los",2025,56.0
05114,Madrigal de las Altas Torres,2025,1285.0
05115,Maello,2025,723.0
05116,Malpartida de Corneja,2025,90.0
05117,Mamblas,2025,190.0
05118,Mancera de Arriba,2025,67.0
05119,Manjabálago y Ortigosa de Rioalmar,2025,22.0
05120,Marlín,2025,30.0
05121,Martiherrero,2025,371.0
05122,Martínez,2025,111.0
05123,Mediana de Voltoya,2025,116.0
05124,Medinilla,2025,79.0
05125,Mengamuñoz,2025,61.0
05126,Mesegar de Corneja,2025,63.0
05127,Mijares,2025,716.0
05128,Mingorría,2025,423.0
05129,"Mirón, El",2025,93.0
05130,Mironcillo,2025,112.0
05131,Mirueña de los Infanzones,2025,87.0
05132,Mombeltrán,2025,922.0
05133,Monsalupe,2025,64.0
05134,Moraleja de Matacabras,2025,56.0
05135,Muñana,2025,498.0
05136,Muñico,2025,79.0
05138,Muñogalindo,2025,299.0
05139,Muñogrande,2025,80.0
05140,Muñomer del Peco,2025,113.0
05141,Muñopepe,2025,97.0
05142,Muñosancho,2025,87.0
05143,Muñotello,2025,50.0
05144,Narrillos del Álamo,2025,56.0
05145,Narrillos del Rebollar,2025,33.0
05147,Narros del Castillo,2025,150.0
05148,Narros del Puerto,2025,25.0
05149,Narros de Saldueña,2025,102.0
05151,Navacepedilla de Corneja,2025,101.0
05152,Nava de Arévalo,2025,648.0
05153,Nava del Barco,2025,81.0
05154,Navadijos,2025,28.0
05155,Navaescurial,2025,59.0
05156,Navahondilla,2025,356.0
05157,Navalacruz,2025,194.0
05158,Navalmoral,2025,451.0
05159,Navalonguilla,2025,182.0
05160,Navalosa,2025,317.0
05161,Navalperal de Pinares,2025,844.0
05162,Navalperal de Tormes,2025,73.0
05163,Navaluenga,2025,2140.0
05164,Navaquesera,2025,38.0
05165,Navarredonda de Gredos,2025,459.0
05166,Navarredondilla,2025,149.0
05167,Navarrevisca,2025,285.0
05168,"Navas del Marqués, Las",2025,5680.0
05169,Navatalgordo,2025,230.0
05170,Navatejares,2025,48.0
05171,Neila de San Miguel,2025,66.0
